iter	Passed	Remaining
403	18724	27623
404	18776	27585
405	18828	27547
406	18869	27493
407	18913	27442
408	18957	27393
409	19003	27347
410	19050	27301
411	19096	27253
412	19143	27208
413	19199	27175
414	19246	27130
415	19294	27086
416	19346	27047
417	19402	27015
418	19452	26972
419	19500	26929
420	19547	26883
421	19598	26844
422	19639	26790
423	19690	26748
424	19736	26702
425	19792	26669
426	19847	26634
427	19901	26597
428	19955	26560
429	20002	26514
430	20049	26469
431	20103	26431
432	20149	26384
433	20196	26338
434	20240	26289
435	20287	26243
436	20335	26199
437	20387	26158
438	20437	26117
439	20487	26075
440	20534	26028
441	20581	25983
442	20628	25936
443	20677	25893
444	20724	25847
445	20777	25809
446	20828	25767
447	20874	25719
448	20923	25677
449	20972	25633
450	21018	25586
451	21064	25537
452	21112	25494
453	21167	25456
454	21215	25411
455	21268	25372
456	21315	25326
457	21360	25278
458	21408	25233
459	21457	25189
460	21507	25147
461	21564	25111
462	21613	25067
463	21661	25022
464	21704	24971
465	21749	24923
466	21799	24879
467	21851	24839
468	21903	24799
469	21954	24756
470	21998	24707
471	22047	24663
472	22093	24615
473	22142	24571
474	22185	24520
475	22236	24478
476	22285	24434
477	22338	24394
478	22390	24354
479	22437	24307
480	22484	24260
481	22539	24222
482	22591	24181
483	22642	24139
484	22688	24091
485	22738	24048
486	22783	23999
487	22832	23955
488	22876	23906
489	22924	23860
490	22974	23816
491	23027	23775
492	23077	23733
493	23123	23685
494	23172	23640
495	23222	23596
496	23270	23551
497	23318	23505
498	23366	23460
499	23412	23412
500	23468	23374
501	23516	23328
502	23567	23286
503	23616	23241
504	23667	23198
505	23717	23154
506	23768	23112
507	23819	23069
508	23870	23026
509	23916	22978
510	23962	22931
511	24010	22885
512	24064	22844
513	24113	22800
514	24163	22755
515	24212	22710
516	24262	22667
517	24312	22622
518	24355	22572
519	24396	22520
520	24448	22477
521	24491	22426
522	24541	22382
523	24590	22337
524	24637	22291
525	24690	22249
526	24743	22208
527	24793	22163
528	24842	22119
529	24890	22072
530	24937	22025
531	24986	21980
532	25037	21937
533	25087	21892
534	25141	21851
535	25188	21805
536	25237	21759
537	25283	21712
538	25327	21662
539	25377	21618
540	25426	21572
541	25482	21532
542	25532	21488
543	25585	21446
544	25638	21404
545	25688	21360
546	25736	21314
547	25786	21269
548	25839	21227
549	25888	21181
550	25935	21134
551	25979	21084
552	26033	21042
553	26082	20997
554	26126	20947
555	26178	20904
556	26228	20860
557	26278	20815
558	26330	20772
559	26372	20721
560	26419	20673
561	26463	20624
562	26511	20578
563	26560	20532
564	26610	20488
565	26658	20441
566	26706	20395
567	26756	20350
568	26806	20304
569	26852	20257
570	26901	20211
571	26950	20165
572	26994	20116
573	27045	20072
574	27096	20027
575	27146	19982
576	27194	19936
577	27246	19892
578	27294	19846
579	27344	19801
580	27396	19757
581	27443	19710
582	27492	19664
583	27542	19619
584	27587	19570
585	27637	19525
586	27686	19479
587	27732	19431
588	27782	19386
589	27832	19341
590	27874	19290
591	27921	19243
592	27975	19200
593	28021	19152
594	28070	19107
595	28118	19060
596	28167	19014
597	28213	18966
598	28261	18919
599	28307	18871
600	28359	18827
601	28412	18784
602	28460	18737
603	28512	18693
604	28566	18650
605	28611	18602
606	28659	18555
607	28706	18508
608	28749	18458
609	28797	18411
610	28846	18365
611	28894	18319
612	28943	18272
613	28993	18227
614	29047	18184
615	29094	18137
616	29141	18089
617	29196	18047
618	29246	18001
619	29294	17954
620	29340	17906
621	29390	17860
622	29439	17814
623	29481	17764
624	29524	17714
625	29571	17667
626	29621	17621
627	29662	17570
628	29709	17523
629	29760	17478
630	29811	17433
631	29860	17387
632	29906	17339
633	29949	17289
634	30002	17245
635	30052	17199
636	30099	17152
637	30148	17105
638	30198	17060
639	30242	17011
640	30293	16966
641	30336	16916
642	30384	16869
643	30430	16821
644	30479	16775
645	30527	16728
646	30570	16679
647	30618	16632
648	30665	16584
649	30717	16540
650	30770	16495
651	30829	16455
652	30879	16409
653	30926	16361
654	30977	16316
655	31026	16269
656	31069	16220
657	31123	16176
658	31198	16143
659	31245	16096
660	31292	16048
661	31339	16001
662	31385	15953
663	31431	15904
664	31479	15858
665	31529	15811
666	31582	15767
667	31631	15721
668	31679	15674
669	31731	15628
670	31780	15582
671	31827	15534
672	31879	15489
673	31923	15440
674	31976	15396
675	32022	15348
676	32074	15303
677	32124	15256
678	32174	15210
679	32225	15165
680	32274	15118
681	32322	15071
682	32370	15023
683	32412	14974
684	32461	14927
685	32515	14883
686	32567	14837
687	32620	14792
688	32668	14745
689	32719	14699
690	32769	14653
691	32819	14607
692	32867	14560
693	32919	14514
694	32971	14469
695	33018	14421
696	33067	14375
697	33117	14328
698	33164	14281
699	33214	14234
700	33258	14185
701	33307	14138
702	33352	14090
703	33395	14041
704	33441	13993
705	33487	13945
706	33532	13896
707	33577	13848
708	33623	13800
709	33665	13750
710	33710	13702
711	33745	13649
712	33786	13599
713	33831	13551
714	33873	13501
715	33919	13453
716	33966	13406
717	34012	13358
718	34067	13314
719	34118	13268
720	34170	13222
721	34224	13177
722	34275	13131
723	34323	13084
724	34374	13038
725	34426	12992
726	34476	12946
727	34524	12899
728	34566	12849
729	34608	12800
730	34652	12751
731	34695	12702
732	34739	12654
733	34787	12606
734	34835	12559
735	34880	12511
736	34926	12463
737	34976	12417
738	35023	12369
739	35072	12322
740	35123	12276
741	35171	12229
742	35218	12182
743	35268	12135
744	35320	12089
745	35361	12040
746	35412	11993
747	35461	11946
748	35511	11900
749	35557	11852
750	35604	11804
