iter	RMSE
135	0.4059004965
136	0.4055576256
137	0.4051829605
138	0.4048886764
139	0.4046030119
140	0.4043481108
141	0.4041066277
142	0.40377164
143	0.4034796814
144	0.4031057467
145	0.4028877471
146	0.4024473056
147	0.4021571053
148	0.401973211
149	0.4017886994
150	0.4014972692
151	0.4011972408
152	0.4008664034
153	0.4005031561
154	0.4001220945
155	0.3999799709
156	0.399808551
157	0.3993688084
158	0.3991035913
159	0.3989231247
160	0.3986327883
161	0.3982730334
162	0.3980719175
163	0.3978383793
164	0.3974921279
165	0.3971766322
166	0.3969137939
167	0.3967383787
168	0.3965343865
169	0.3963155343
170	0.3961671053
171	0.395929331
172	0.395638837
173	0.3954968652
174	0.3951855514
175	0.3948332271
176	0.3945472715
177	0.3943072163
178	0.3940693889
179	0.3938090478
180	0.3935256492
181	0.3933140833
182	0.3929992296
183	0.3927227825
184	0.3925253924
185	0.3922503123
186	0.3918826259
187	0.391664173
188	0.3914186153
189	0.3910748756
190	0.3908064095
191	0.3905339093
192	0.3902863488
193	0.3902786348
194	0.390041239
195	0.3898584289
196	0.3894853556
197	0.3891883271
198	0.388861747
199	0.3886437737
200	0.3881687475
201	0.3877971864
202	0.3875449303
203	0.3871776867
204	0.3869591079
205	0.3865855722
206	0.3862365895
207	0.3859132793
208	0.3856882703
209	0.3853874887
210	0.3851469728
211	0.3847343484
212	0.3844835998
213	0.3841974644
214	0.3840254586
215	0.3837985784
216	0.3835369344
217	0.3831503109
218	0.3827237216
219	0.3825003477
220	0.3821159783
221	0.3818763137
222	0.3816516537
223	0.3813754939
224	0.3810707498
225	0.3806815125
226	0.3803272469
227	0.3799966036
228	0.3798141025
229	0.379542921
230	0.3793154009
231	0.3790702002
232	0.3787648344
233	0.378571072
234	0.3783436549
235	0.3781021844
236	0.3777739156
237	0.377514476
238	0.377273299
239	0.3771032413
240	0.3768192154
241	0.3765104435
242	0.3762462222
243	0.3758787736
244	0.3754093546
245	0.3751202862
246	0.3749092478
247	0.3745309248
248	0.374129902
249	0.3737639709
250	0.373412774
251	0.3730740254
252	0.3727148503
253	0.372325226
254	0.3720710199
255	0.3718813686
256	0.3716204302
257	0.3712975559
258	0.3710632779
259	0.3707718806
260	0.3704305866
261	0.3701075214
262	0.3697891072
263	0.369594058
264	0.3692965618
265	0.3690782349
266	0.3686546785
267	0.3684113372
268	0.3680580637
269	0.367710793
270	0.3674226815
271	0.367181279
